
設備生産性 １１月 ( 作業日 2024/11/01 ～ 2024/11/30 ) 発行 2024/12/02 15:56 

稼働 負荷 段取 加工 その他 点数 段取 実加工 操 ｶﾄﾞ 分 分 数量 
分類名 昼夜 機械･ｸﾞﾙｰﾌﾟ 日数 時間 時間 時間 時間 (ｶﾝﾘｮｳ) 回数 数量 業 ｳﾘﾂ /ﾃﾝ /ｶｲ /ｶｺｳｼﾞ 
ﾄﾔﾏ.ﾋｮｳﾒﾝｶｺｳ Ｂ昼 G3 9 71.27 21.45 35.03 14.78 14 17 103,180 106 79 92 76 2,945 
ﾄﾔﾏ.ﾋｮｳﾒﾝｶｺｳ Ｂ夜 G3 8 55.32 15.60 27.52 12.20 15 18 62,307 92 78 62 52 2,264 
ﾄﾔﾏ.ﾋｮｳﾒﾝｶｺｳ Ａ昼 EP2 10 55.55 3.38 41.95 10.22 24 25 104,576 74 82 8 8 2,493 
ﾄﾔﾏ.ﾋｮｳﾒﾝｶｺｳ Ａ昼 EP3 9 57.42 3.87 44.20 9.35 41 41 90,802 85 84 6 6 2,054 
ﾄﾔﾏ.ﾋｮｳﾒﾝｶｺｳ Ａ夜 EP2 8 54.97 2.63 42.98 9.35 22 25 104,182 92 83 7 6 2,424 
ﾄﾔﾏ.ﾋｮｳﾒﾝｶｺｳ Ａ夜 EP3 8 58.25 4.42 43.77 10.07 45 45 88,656 97 83 6 6 2,026 
ﾄﾔﾏ.ﾋｮｳﾒﾝｶｺｳ Ａ夜 EP4 2 14.72 0.43 12.53 1.75 3 3 28,580 98 88 9 9 2,280 
ﾄﾔﾏ.ﾋｮｳﾒﾝｶｺｳ Ｂ昼 EP2 9 67.33 5.67 46.62 15.05 30 34 113,355 100 78 11 10 2,432 
ﾄﾔﾏ.ﾋｮｳﾒﾝｶｺｳ Ｂ昼 EP3 2 5.57 1.27 2.48 1.82 6 6 6,061 37 67 13 13 2,441 
ﾄﾔﾏ.ﾋｮｳﾒﾝｶｺｳ Ｂ夜 EP2 11 79.78 4.52 57.07 18.20 34 35 153,799 97 77 8 8 2,695 
ﾄﾔﾏ.ﾋｮｳﾒﾝｶｺｳ Ｂ夜 EP3 1 6.58 0.80 5.00 0.78 4 4 13,430 88 88 12 12 2,686 

ﾄﾔﾏ.ｵｵﾊﾞﾝｹﾝﾋﾟﾝ Ａ昼 SK10 11 90.27 19.37 53.25 17.65 54 58 253,334 109 80 22 20 4,757 
ﾄﾔﾏ.ｵｵﾊﾞﾝｹﾝﾋﾟﾝ Ａ昼 SK11 11 89.97 12.40 67.82 9.75 40 44 312,946 109 89 19 17 4,615 
ﾄﾔﾏ.ｵｵﾊﾞﾝｹﾝﾋﾟﾝ Ａ昼 SK4 11 85.90 22.22 29.08 34.60 60 74 77,632 104 60 22 18 2,669 
ﾄﾔﾏ.ｵｵﾊﾞﾝｹﾝﾋﾟﾝ Ａ昼 SK7 10 79.55 20.10 42.40 17.05 39 43 160,145 106 79 31 28 3,777 
ﾄﾔﾏ.ｵｵﾊﾞﾝｹﾝﾋﾟﾝ Ａ夜 SK10 8 61.20 10.13 41.72 9.35 33 36 211,137 102 85 18 17 5,061 
ﾄﾔﾏ.ｵｵﾊﾞﾝｹﾝﾋﾟﾝ Ａ夜 SK11 8 60.40 10.52 43.85 6.03 29 32 163,950 101 90 22 20 3,739 
